Player,Team,Min,Value
Jarrod Bowen,West Ham,2721,€48.1M
Jean-Clair Todibo,West Ham,1564,€36M
Jean-Philippe Mateta,Crystal Palace,2517,€31.7M
Jean-Ricner Bellegarde,Wolves,1551,€21.3M
Jefferson Lerma,Crystal Palace,2034,€13.6M
Jens Cajuste,Ipswich Town,1783,€15.5M
Jeremy Doku,Manchester City,1397,€66.2M
Jesper Lindstrøm,Everton,1239,€24.4M
Joachim Andersen,Fulham,2313,€31.4M
Joe Aribo,Southampton,1909,€6.9M
Joe Willock,Newcastle Utd,1026,€35.8M
Joelinton,Newcastle Utd,2393,€47.5M
John McGinn,Aston Villa,2052,€22.5M
Jordan Ayew,Leicester City,1425,€4.2M
Jordan Pickford,Everton,3150,€22.6M
Joshua Zirkzee,Manchester Utd,1402,€43.7M
José Sá,Wolves,2430,€8.5M
João Gomes,Wolves,2781,€51.1M
João Pedro,Brighton,1948,€61.3M
Joël Veltman,Brighton,1665,€5.7M
Joško Gvardiol,Manchester City,3007,€78.7M
Jurriën Timber,Arsenal,2417,€65.5M
Justin Kluivert,Bournemouth,2161,€44.8M
Jørgen Strand Larsen,Wolves,2463,€30.8M
Kai Havertz,Arsenal,1839,€70.5M
Kalvin Phillips,Ipswich Town,1237,€17.2M
Kamaldeen Sulemana,Southampton,1178,€18.5M
Kaoru Mitoma,Brighton,2521,€50.6M
Keane Lewis-Potter,Brentford,2839,€27.1M
Kenny Tete,Fulham,1504,€14M
Kepa Arrizabalaga,Bournemouth,2520,€12M
Kevin De Bruyne,Manchester City,1538,€20.1M
Kevin Schade,Brentford,2069,€29.7M
Kieran Trippier,Newcastle Utd,1281,€5.1M
Kobbie Mainoo,Manchester Utd,1506,€66M
Konstantinos Mavropanos,West Ham,1947,€19.1M
Kristoffer Ajer,Brentford,1405,€21.5M
Kyle Walker,Manchester City,970,€4.9M
Kyle Walker-Peters,Southampton,2918,€16.6M
Leandro Trossard,Arsenal,2354,€31.8M
Leif Davis,Ipswich Town,2563,€28.2M
Leny Yoro,Manchester Utd,1114,€71M
Leon Bailey,Aston Villa,1138,€39.2M
Lesley Ugochukwu,Southampton,1525,€27M
Levi Colwill,Chelsea,2879,€56.6M
Lewis Cook,Bournemouth,2816,€19.3M
Lewis Dunk,Brighton,2083,€7.4M
Lewis Hall,Newcastle Utd,2189,€34.5M
Liam Delap,Ipswich Town,2491,€37M
Lisandro Martínez,Manchester Utd,1751,€49.2M
Lucas Bergvall,Tottenham,1212,€32.6M
Lucas Digne,Aston Villa,2261,€13.6M
Lucas Paquetá,West Ham,2336,€71.2M
Luis Díaz,Liverpool,2225,€71M
Luke Woolfenden,Ipswich Town,1187,€2M
Mads Hermansen,Leicester City,2385,€19.8M
Mads Roerslev,Brentford,1101,€8.4M
Malo Gusto,Chelsea,1832,€32.8M
Manuel Akanji,Manchester City,1744,€42.8M
Manuel Ugarte Ribeiro,Manchester Utd,1706,€60.4M
Marc Cucurella,Chelsea,2718,€39.4M
Marc Guéhi,Crystal Palace,2969,€54.2M
Marcos Senesi,Bournemouth,1014,€20.4M
Marcus Rashford,Manchester Utd,978,€53.6M
Marcus Tavernier,Bournemouth,1670,€24.4M
Mario Lemina,Wolves,1364,€5.2M
Mark Flekken,Brentford,3005,€13.6M
Martin Ødegaard,Arsenal,2130,€126.5M
Mateo Kovačić,Manchester City,2049,€25.3M
Mateus Fernandes,Southampton,2640,€22.5M
Matheus Cunha,Wolves,2425,€62.6M
Matheus Nunes,Manchester City,1494,€42.3M
Matt Doherty,Wolves,1965,€4.2M
Matthijs de Ligt,Manchester Utd,2123,€52.2M
Matty Cash,Aston Villa,1800,€32.9M
Matz Sels,Nott'ham Forest,3150,€9.1M
Max Kilman,West Ham,3078,€36.7M
Maxence Lacroix,Crystal Palace,2846,€27.7M
Micky van de Ven,Tottenham,950,€61.8M
Mikel Merino,Arsenal,1418,€40.5M
Mikkel Damsgaard,Brentford,2658,€28.6M
Milos Kerkez,Bournemouth,3077,€61.5M
Mohamed Salah,Liverpool,3101,€38.5M
Mohammed Kudus,West Ham,2421,€61.7M
Moisés Caicedo,Chelsea,3081,€80.7M
Morgan Gibbs-White,Nott'ham Forest,2541,€61.7M
Morgan Rogers,Aston Villa,2853,€69M
Murillo,Nott'ham Forest,3008,€68.4M
Myles Lewis-Skelly,Arsenal,1168,€34.9M
Nathan Collins,Brentford,3150,€33.3M
Neco Williams,Nott'ham Forest,2324,€23.4M
Nick Pope,Newcastle Utd,2250,€11.7M
Nicolas Jackson,Chelsea,2185,€66.2M
Nicolás Domínguez,Nott'ham Forest,1734,€18.8M
Nikola Milenković,Nott'ham Forest,3060,€38M
Noni Madueke,Chelsea,1813,€51.6M
Noussair Mazraoui,Manchester Utd,2639,€43M
Nélson Semedo,Wolves,2661,€8.4M
Ola Aina,Nott'ham Forest,2733,€18.8M
Oliver Skipp,Leicester City,996,€17M
Ollie Watkins,Aston Villa,2333,€61.4M
Omar Marmoush,Manchester City,998,€79.1M
Omari Hutchinson,Ipswich Town,2313,€27.4M
Orel Mangala,Everton,1261,€24.4M
Pape Matar Sarr,Tottenham,1726,€50.8M
Pau Torres,Aston Villa,1819,€45.3M
Paul Onuachu,Southampton,1029,€12.7M
Pedro Neto,Chelsea,2013,€60.6M
Pedro Porro,Tottenham,2463,€55.9M
Pervis Estupiñán,Brighton,2222,€37.1M
Phil Foden,Manchester City,1693,€105.7M
Radu Drăgușin,Tottenham,1252,€28.4M
Rasmus Højlund,Manchester Utd,1744,€54.9M
Rayan Aït-Nouri,Wolves,2865,€45M
Raúl Jiménez,Fulham,2224,€5.1M
Riccardo Calafiori,Arsenal,925,€49.3M
Rico Lewis,Manchester City,1818,€62.7M
Robert Sánchez,Chelsea,2610,€24.9M
Rodrigo Bentancur,Tottenham,1518,€31.5M
Rodrigo Muniz,Fulham,964,€8.2M
Ryan Christie,Bournemouth,2117,€16.2M
Ryan Gravenberch,Liverpool,2921,€85.3M
Ryan Manning,Southampton,1459,€3.9M
Ryan Yates,Nott'ham Forest,1874,€18.3M
Rúben Dias,Manchester City,2001,€58.5M
Sam Morsy,Ipswich Town,2486,€1.3M
Sammie Szmodics,Ipswich Town,979,€14.1M
Sander Berge,Fulham,2091,€27.8M
Sandro Tonali,Newcastle Utd,2360,€52.9M
Santiago Bueno,Wolves,1683,€11.2M
Saša Lukić,Fulham,2169,€12.1M
Sepp van den Berg,Brentford,2316,€26.4M
Simon Adingra,Brighton,956,€34M
Son Heung-min,Tottenham,2004,€30.7M
Stefan Ortega,Manchester City,1100,€5.8M
Stephy Mavididi,Leicester City,1615,€12.9M
Sávio,Manchester City,1734,€74.8M
Taylor Harwood-Bellis,Southampton,2654,€29.9M
Thomas Partey,Arsenal,2527,€15.2M
Timothy Castagne,Fulham,1649,€17.4M
Tomáš Souček,West Ham,2330,€23.2M
Tosin Adarabioyo,Chelsea,1229,€24.3M
Toti Gomes,Wolves,2344,€18.6M
Trent Alexander-Arnold,Liverpool,2296,€55.8M
Trevoh Chalobah,Crystal Palace,1060,€20.1M
Tyler Adams,Bournemouth,1710,€24.4M
Tyler Dibling,Southampton,1742,€32.7M
Tyrick Mitchell,Crystal Palace,2942,€24.6M
Tyrone Mings,Aston Villa,1051,€5.8M
