Player,Team,Min,Value
Jean-Ricner Bellegarde,Wolves,1486,€21.3M
Jefferson Lerma,Crystal Palace,2030,€12.8M
Jens Cajuste,Ipswich Town,1774,€15.4M
Jeremy Doku,Manchester City,1307,€66.5M
Jesper Lindstrøm,Everton,1239,€24.4M
Joachim Andersen,Fulham,2223,€32.9M
Joe Aribo,Southampton,1909,€8M
Joe Willock,Newcastle Utd,953,€36.4M
Joelinton,Newcastle Utd,2393,€45.7M
John McGinn,Aston Villa,1992,€21.6M
Jordan Ayew,Leicester City,1356,€4.5M
Jordan Pickford,Everton,3060,€23.8M
Joshua Zirkzee,Manchester Utd,1402,€43.3M
José Sá,Wolves,2340,€8.6M
João Gomes,Wolves,2691,€51.1M
João Pedro,Brighton,1948,€61.3M
Joël Veltman,Brighton,1643,€5.9M
Joško Gvardiol,Manchester City,2917,€77.4M
Jurriën Timber,Arsenal,2417,€62.7M
Justin Kluivert,Bournemouth,2097,€44.3M
Jørgen Strand Larsen,Wolves,2463,€30.3M
Kai Havertz,Arsenal,1839,€70M
Kalvin Phillips,Ipswich Town,1214,€17.3M
Kamaldeen Sulemana,Southampton,1122,€18.5M
Kaoru Mitoma,Brighton,2521,€49.2M
Keane Lewis-Potter,Brentford,2714,€27.3M
Kenny Tete,Fulham,1438,€13.4M
Kepa Arrizabalaga,Bournemouth,2430,€11.4M
Kevin De Bruyne,Manchester City,1455,€20.4M
Kevin Schade,Brentford,1931,€29.7M
Kieran Trippier,Newcastle Utd,1192,€4.5M
Kobbie Mainoo,Manchester Utd,1416,€54.8M
Konstantinos Mavropanos,West Ham,1944,€19.1M
Kristoffer Ajer,Brentford,1388,€21.5M
Kyle Walker,Manchester City,970,€4.9M
Kyle Walker-Peters,Southampton,2828,€16.6M
Leandro Trossard,Arsenal,2264,€31.8M
Leif Davis,Ipswich Town,2563,€28.4M
Leny Yoro,Manchester Utd,1069,€66.2M
Leon Bailey,Aston Villa,1138,€38.6M
Lesley Ugochukwu,Southampton,1447,€27.1M
Levi Colwill,Chelsea,2789,€59.8M
Lewis Cook,Bournemouth,2726,€19.5M
Lewis Dunk,Brighton,1993,€7.1M
Lewis Hall,Newcastle Utd,2189,€36.1M
Liam Delap,Ipswich Town,2424,€33M
Lisandro Martínez,Manchester Utd,1751,€49.2M
Lucas Bergvall,Tottenham,1212,€31.3M
Lucas Digne,Aston Villa,2241,€14.8M
Lucas Paquetá,West Ham,2257,€73.5M
Luis Díaz,Liverpool,2225,€69.3M
Luke Woolfenden,Ipswich Town,1097,€2M
Mads Hermansen,Leicester City,2385,€19.2M
Mads Roerslev,Brentford,1101,€8.4M
Malo Gusto,Chelsea,1819,€36.1M
Manuel Akanji,Manchester City,1711,€43.7M
Manuel Ugarte Ribeiro,Manchester Utd,1616,€60.3M
Marc Cucurella,Chelsea,2628,€39.6M
Marc Guéhi,Crystal Palace,2879,€48.9M
Marcos Senesi,Bournemouth,1014,€20.3M
Marcus Rashford,Manchester Utd,978,€58.6M
Marcus Tavernier,Bournemouth,1580,€24.4M
Mario Lemina,Wolves,1364,€5.2M
Mark Flekken,Brentford,2825,€13.9M
Martin Ødegaard,Arsenal,2040,€125.8M
Mateo Kovačić,Manchester City,1960,€25.3M
Mateus Fernandes,Southampton,2584,€22.5M
Matheus Cunha,Wolves,2341,€62.6M
Matheus Nunes,Manchester City,1404,€42.3M
Matt Doherty,Wolves,1901,€4M
Matthijs de Ligt,Manchester Utd,2089,€50.8M
Matty Cash,Aston Villa,1710,€32.8M
Matz Sels,Nott'ham Forest,2970,€10.2M
Max Kilman,West Ham,2988,€39.3M
Maxence Lacroix,Crystal Palace,2756,€25.8M
Micky van de Ven,Tottenham,950,€62M
Mikel Merino,Arsenal,1401,€39.7M
Mikkel Damsgaard,Brentford,2495,€28.6M
Milos Kerkez,Bournemouth,2987,€61.6M
Mohamed Salah,Liverpool,3011,€18.3M
Mohammed Kudus,West Ham,2331,€63M
Moisés Caicedo,Chelsea,2991,€82.8M
Morgan Gibbs-White,Nott'ham Forest,2377,€61.7M
Morgan Rogers,Aston Villa,2763,€79.6M
Murillo,Nott'ham Forest,2838,€66M
Myles Lewis-Skelly,Arsenal,1078,€35.7M
Nathan Collins,Brentford,2970,€30.7M
Neco Williams,Nott'ham Forest,2144,€22.6M
Nick Pope,Newcastle Utd,2160,€11.5M
Nicolas Jackson,Chelsea,2114,€66.9M
Nicolás Domínguez,Nott'ham Forest,1624,€18.8M
Nikola Milenković,Nott'ham Forest,2880,€40.6M
Noni Madueke,Chelsea,1723,€52.3M
Noussair Mazraoui,Manchester Utd,2639,€45.3M
Nélson Semedo,Wolves,2576,€8.3M
Ola Aina,Nott'ham Forest,2569,€19.3M
Oliver Skipp,Leicester City,907,€17.1M
Ollie Watkins,Aston Villa,2263,€63.2M
Omar Marmoush,Manchester City,916,€79.1M
Omari Hutchinson,Ipswich Town,2223,€27.6M
Orel Mangala,Everton,1261,€24.4M
Pape Matar Sarr,Tottenham,1636,€50.8M
Pau Torres,Aston Villa,1729,€46.1M
Paul Onuachu,Southampton,984,€12.7M
Pedro Neto,Chelsea,1923,€60.4M
Pedro Porro,Tottenham,2463,€55.9M
Pervis Estupiñán,Brighton,2132,€35.4M
Phil Foden,Manchester City,1686,€99.8M
Radu Drăgușin,Tottenham,1252,€28.4M
Rasmus Højlund,Manchester Utd,1744,€60M
Rayan Aït-Nouri,Wolves,2775,€44M
Raúl Jiménez,Fulham,2134,€5.2M
Riccardo Calafiori,Arsenal,925,€49.3M
Rico Lewis,Manchester City,1810,€62.7M
Robert Sánchez,Chelsea,2520,€24.8M
Rodrigo Bentancur,Tottenham,1518,€31.4M
Rodrigo Muniz,Fulham,964,€8.4M
Ryan Christie,Bournemouth,2117,€16.2M
Ryan Gravenberch,Liverpool,2921,€85.5M
Ryan Manning,Southampton,1369,€3.8M
Ryan Yates,Nott'ham Forest,1775,€17.5M
Rúben Dias,Manchester City,1911,€74.5M
Sam Morsy,Ipswich Town,2419,€1.3M
Sammie Szmodics,Ipswich Town,979,€14.1M
Sander Berge,Fulham,2017,€27.9M
Sandro Tonali,Newcastle Utd,2270,€52.1M
Santiago Bueno,Wolves,1678,€11.3M
Saša Lukić,Fulham,2079,€12.1M
Sepp van den Berg,Brentford,2136,€26.4M
